Experiment,Costs,Coordinates
80,32758,"{(42, 16), (16, 39), (6, 10), (26, 12), (40, 40)}"
81,33658,"{(16, 39), (41, 39), (43, 7), (8, 9), (28, 15)}"
82,32029,"{(15, 40), (11, 10), (42, 41), (31, 25), (34, 8)}"
83,31723,"{(25, 13), (16, 39), (41, 39), (40, 13), (6, 10)}"
84,31678,"{(24, 8), (5, 11), (16, 39), (36, 19), (41, 41)}"
85,32290,"{(24, 8), (5, 11), (16, 39), (36, 19), (41, 41)}"
86,31777,"{(41, 40), (36, 11), (14, 43), (12, 9), (22, 28)}"
87,31309,"{(34, 23), (16, 39), (7, 10), (41, 41), (29, 8)}"
88,31966,"{(42, 39), (23, 36), (33, 13), (10, 39), (11, 9)}"
89,32398,"{(41, 16), (17, 38), (6, 10), (41, 41), (26, 12)}"
90,31795,"{(24, 8), (5, 11), (16, 39), (36, 19), (41, 41)}"
91,32092,"{(41, 16), (17, 38), (6, 10), (41, 41), (26, 12)}"
92,31822,"{(35, 13), (12, 9), (9, 40), (42, 40), (22, 35)}"
93,31219,"{(42, 39), (11, 10), (14, 42), (23, 28), (35, 11)}"
94,31174,"{(42, 39), (14, 42), (10, 9), (34, 11), (22, 28)}"
95,31237,"{(25, 29), (13, 43), (7, 10), (31, 10), (42, 40)}"
96,31624,"{(15, 30), (33, 13), (40, 39), (11, 8), (17, 43)}"
97,31642,"{(34, 23), (16, 39), (7, 10), (41, 41), (29, 8)}"
98,32911,"{(40, 39), (16, 38), (43, 7), (8, 9), (28, 15)}"
99,32290,"{(36, 11), (11, 10), (14, 42), (42, 41), (24, 28)}"
100,32425,"{(25, 13), (16, 39), (40, 13), (41, 39), (6, 10)}"
101,32803,"{(24, 8), (5, 11), (16, 39), (36, 19), (41, 41)}"
102,32245,"{(15, 40), (11, 10), (35, 6), (42, 40), (30, 22)}"
103,32011,"{(14, 30), (33, 13), (40, 39), (11, 8), (17, 43)}"
104,31354,"{(42, 39), (14, 42), (12, 9), (35, 11), (22, 28)}"
105,31948,"{(15, 40), (35, 7), (10, 10), (42, 40), (30, 22)}"
106,31327,"{(15, 40), (35, 7), (10, 10), (42, 40), (30, 22)}"
107,31309,"{(15, 40), (11, 10), (42, 41), (31, 25), (34, 8)}"
108,31678,"{(42, 39), (13, 43), (10, 10), (33, 11), (23, 30)}"
109,31336,"{(34, 10), (25, 28), (14, 42), (10, 10), (42, 40)}"
110,32119,"{(5, 11), (36, 16), (17, 38), (41, 41), (23, 8)}"
111,32065,"{(14, 30), (41, 39), (33, 13), (11, 8), (17, 43)}"
112,31984,"{(42, 39), (10, 8), (8, 36), (32, 13), (22, 38)}"
113,31633,"{(36, 11), (13, 43), (11, 10), (23, 29), (42, 40)}"
114,31291,"{(33, 23), (7, 10), (15, 39), (41, 41), (29, 8)}"
115,31255,"{(34, 23), (16, 39), (7, 10), (41, 41), (29, 8)}"
116,31777,"{(15, 40), (11, 10), (35, 6), (42, 40), (30, 22)}"
117,31858,"{(36, 11), (13, 43), (23, 29), (12, 9), (42, 40)}"
118,31255,"{(13, 43), (42, 39), (10, 10), (33, 11), (23, 30)}"
119,31561,"{(15, 40), (11, 10), (28, 26), (34, 9), (42, 40)}"
120,32209,"{(36, 11), (13, 43), (23, 29), (12, 9), (42, 40)}"
121,32083,"{(14, 30), (41, 39), (33, 13), (11, 8), (17, 43)}"
122,31093,"{(15, 40), (31, 8), (8, 10), (42, 41), (30, 25)}"
123,31075,"{(30, 8), (15, 40), (7, 10), (42, 41), (32, 25)}"
124,31498,"{(13, 43), (42, 39), (10, 10), (33, 11), (23, 30)}"
125,31642,"{(9, 10), (15, 39), (31, 6), (41, 41), (32, 22)}"
126,31831,"{(14, 30), (41, 39), (33, 13), (11, 8), (17, 43)}"
127,31840,"{(41, 40), (25, 13), (40, 13), (16, 38), (6, 10)}"
128,31381,"{(36, 11), (41, 40), (14, 43), (12, 9), (22, 28)}"
129,31885,"{(5, 11), (16, 39), (36, 19), (25, 8), (41, 41)}"
130,31903,"{(5, 11), (16, 39), (36, 19), (25, 8), (41, 41)}"
131,31885,"{(36, 11), (13, 43), (23, 29), (12, 9), (42, 40)}"
132,31813,"{(25, 13), (16, 39), (41, 39), (40, 13), (6, 10)}"
133,31732,"{(13, 8), (41, 39), (18, 41), (8, 28), (34, 14)}"
134,32173,"{(15, 40), (11, 10), (35, 6), (42, 40), (30, 22)}"
135,31894,"{(24, 8), (5, 11), (16, 39), (36, 19), (41, 41)}"
136,31444,"{(41, 40), (15, 40), (9, 9), (37, 11), (25, 20)}"
137,32380,"{(24, 8), (5, 11), (16, 39), (36, 19), (41, 41)}"
138,31687,"{(23, 36), (33, 13), (10, 39), (11, 9), (42, 40)}"
139,31354,"{(41, 40), (36, 11), (14, 42), (12, 9), (22, 28)}"
140,32317,"{(5, 11), (36, 16), (17, 38), (41, 41), (23, 8)}"
